date,juliandate,a0620Cal,merr1
101130,2455531.85324,17.77475,0.013
101201,2455532.65844,17.836750000000002,0.008
101202,2455533.60908,17.74525,0.009
101202,2455533.77366,17.9635,0.01
101203,2455534.62230,17.73675,0.009
101203,2455534.84847,18.00725,0.013
101204,2455535.71389,17.95225,0.009
101205,2455536.74808,17.8845,0.009
101206,2455537.72524,17.853250000000003,0.009
101207,2455538.69209,17.81375,0.009
101207,2455538.80945,17.755,0.008
101208,2455539.65964,17.92475,0.009
101208,2455539.68898,17.802999999999997,0.008
101209,2455540.59924,17.603,0.008
101210,2455541.63143,18.00775,0.011
101211,2455542.60708,18.0685,0.012
101211,2455542.72266,17.8975,0.009
101212,2455543.60111,18.0915,0.014
101212,2455543.70764,18.05425,0.011
101212,2455543.82853,17.8035,0.01
101213,2455544.70816,18.12675,0.011
101213,2455544.76926,17.91875,0.009
101214,2455545.67457,18.0335,0.014
101214,2455545.83280,18.0965,0.011
101215,2455546.77723,17.856749999999998,0.009
101216,2455547.63896,17.96075,0.017
101216,2455547.80594,17.860500000000002,0.01
101217,2455548.65342,17.8295,0.018
101217,2455548.79181,17.826999999999998,0.01
101218,2455549.64987,17.86625,0.025
101218,2455549.81066,17.925,0.022
101219,2455550.66223,17.966,0.035
101220,2455551.60279,17.50225,0.047
101220,2455551.80260,18.09725,0.015
101221,2455552.80827,18.082500000000003,0.06
101222,2455553.59727,18.115250000000003,0.057
101222,2455553.79149,17.91475,0.04
101223,2455554.70080,18.01775,0.023
101226,2455557.73191,18.015249999999998,0.013
101226,2455557.86453,17.792250000000003,0.041
101227,2455558.65314,18.009500000000003,0.01
101227,2455558.84559,17.7945,0.013
101228,2455559.73699,18.16725,0.013
101228,2455559.84314,18.063000000000002,0.014
101229,2455560.72541,18.1315,0.01
101229,2455560.82245,18.01475,0.012
120306,2455993.59169,18.14375,0.028
120309,2455996.59140,18.2765,0.031
120310,2455997.56131,18.163999999999998,0.02
120313,2456000.57298,17.972250000000003,0.01
120315,2456002.54026,17.9895,0.011
120317,2456004.54237,18.146250000000002,0.013
120320,2456007.58437,17.95675,0.009
120322,2456009.52107,18.1145,0.011
120323,2456010.52969,18.193,0.012
120324,2456011.56492,18.0575,0.012
120326,2456013.52767,18.1785,0.012
120328,2456015.52138,18.1815,0.02
120401,2456019.56047,18.089750000000002,0.025
120404,2456022.54096,17.8805,0.025
120407,2456025.52173,18.096999999999998,0.032
120411,2456029.52100,17.859750000000002,0.013
120414,2456032.50047,18.115750000000002,0.017
120417,2456035.50416,17.9605,0.014
120419,2456037.52117,17.96125,0.015
120421,2456039.50399,17.903750000000002,0.013
120424,2456042.50410,18.0065,0.015
120430,2456048.48085,17.96275,0.02
120502,2456050.47624,17.97575,0.026
120504,2456052.46007,17.965,0.039
120506,2456054.47884,17.7425,0.032
120508,2456056.45816,17.83625,0.021
120927,2456198.83976,17.906000000000002,0.025
120929,2456200.86836,17.84375,0.024
120930,2456201.82018,17.76725,0.046
121001,2456202.77810,17.650750000000002,0.024
121003,2456204.82773,17.707,0.019
121011,2456212.86754,17.850250000000003,0.011
121014,2456215.80930,17.987000000000002,0.012
121018,2456219.71190,17.83575,0.014
121025,2456226.81321,17.9715,0.016
121028,2456229.77263,17.995749999999997,0.029
121029,2456230.81247,18.188,0.043
121101,2456233.71128,17.87525,0.032
