date,juliandate,a0620Cal,merr1
131209,2456636.81449,16.387249999999998,0.01
131209,2456636.85167,16.317500000000003,0.012
131210,2456637.61633,16.209500000000002,0.011
131210,2456637.65024,16.31075,0.012
131210,2456637.69104,16.148500000000002,0.011
131210,2456637.73946,16.2575,0.01
131210,2456637.79639,16.313,0.009
131210,2456637.84596,16.12925,0.009
131211,2456638.60549,16.455250000000003,0.015
131211,2456638.65620,16.255,0.011
131211,2456638.66800,16.211499999999997,0.01
131211,2456638.68014,16.233,0.01
131211,2456638.69184,16.182,0.011
131211,2456638.70415,16.31,0.012
131211,2456638.74025,16.36675,0.011
131211,2456638.79342,16.30575,0.009
131211,2456638.83974,16.284249999999997,0.009
131212,2456639.73120,16.364,0.013
131213,2456640.77016,16.23325,0.013
131214,2456641.75378,16.20525,0.014
131218,2456645.69973,16.592750000000002,0.035
131219,2456646.75632,16.1035,0.01
131220,2456647.80114,16.366999999999997,0.014
131221,2456648.73097,16.3455,0.012
131222,2456649.66640,16.101,0.01
131223,2456650.75113,16.404,0.012
131226,2456653.72972,16.41225,0.011
131227,2456654.73892,16.41925,0.01
131228,2456655.70580,16.40425,0.011
131229,2456656.65528,16.364,0.012
131230,2456657.67641,16.438750000000002,0.012
131231,2456658.76576,16.44575,0.01
140101,2456659.69435,16.32975,0.011
140102,2456660.68511,16.3705,0.011
140103,2456661.75755,16.352,0.012
140104,2456662.62711,16.424750000000003,0.011
140105,2456663.67135,16.3755,0.012
140106,2456664.67827,16.227,0.011
140107,2456665.67695,16.27525,0.01
140108,2456666.66105,16.17675,0.009
140110,2456668.61656,16.3465,0.011
140111,2456669.64730,16.14325,0.015
140112,2456670.72458,16.326999999999998,0.027
140113,2456671.72924,16.53575,0.049
140115,2456673.70034,16.24225,0.026
140117,2456675.76069,16.4035,0.028
140118,2456676.68899,16.286,0.014
140119,2456677.68985,16.46975,0.013
140120,2456678.67245,16.427,0.012
140122,2456680.64388,16.3405,0.01
140123,2456681.69239,16.179000000000002,0.039
140124,2456682.71655,16.27075,0.011
140125,2456683.64445,16.462000000000003,0.011
140126,2456684.72950,16.273249999999997,0.01
140128,2456686.58946,16.3445,0.01
140129,2456687.60607,16.3435,0.011
140130,2456688.65583,16.43775,0.012
140131,2456689.61579,16.409999999999997,0.012
140201,2456690.62072,16.37125,0.01
140202,2456691.64341,16.231,0.011
140203,2456692.65639,16.12425,0.008
140205,2456694.63268,16.358249999999998,0.012
140206,2456695.63773,16.356499999999997,0.012
140207,2456696.60443,16.261250000000004,0.011
140208,2456697.58465,16.33925,0.015
140209,2456698.62483,16.6195,0.027
140210,2456699.60721,16.405250000000002,0.026
140211,2456700.55752,16.48125,0.03
140212,2456701.58223,16.489,0.017
140214,2456703.63034,16.235999999999997,0.016
140216,2456705.61983,16.413249999999998,0.017
140218,2456707.59876,16.4775,0.015
140220,2456709.57488,16.386249999999997,0.011
140222,2456711.59128,16.502,0.015
140224,2456713.56259,16.472749999999998,0.014
140226,2456715.54959,16.37125,0.01
140228,2456717.61744,16.42225,0.012
140302,2456719.58977,16.329,0.011
140304,2456721.58178,16.52375,0.012
140306,2456723.60815,16.3175,0.011
140308,2456725.56602,16.2815,0.015
140310,2456727.56874,16.44725,0.018
140312,2456729.55006,16.49275,0.015
140314,2456731.55399,16.3435,0.014
140316,2456733.52705,16.325499999999998,0.013
140318,2456735.53065,16.34,0.013
140320,2456737.60349,16.393,0.011
140322,2456739.55331,16.441000000000003,0.012
140324,2456741.57700,16.304999999999996,0.01
140326,2456743.57628,16.392249999999997,0.012
140328,2456745.56243,16.0605,0.009
140401,2456749.53807,16.26,0.01
140403,2456751.53041,16.345999999999997,0.028
140409,2456757.56642,16.152250000000002,0.015
140411,2456759.52441,16.2345,0.012
140415,2456763.50566,16.272750000000002,0.016
140908,2456909.85824,16.2105,0.017
