date,juliandate,a0620Cal,merr1
91128,2455164.80414,19.128500000000003,0.015
91130,2455166.66331,19.14575,0.062
91202,2455168.78099,19.1475,0.079
91204,2455170.75500,19.079,0.048
91207,2455173.68351,19.131999999999998,0.021
91209,2455175.73284,18.792499999999997,0.012
91211,2455177.74454,19.200499999999998,0.014
91212,2455178.71365,19.257499999999997,0.016
91214,2455180.65099,19.271500000000003,0.018
91215,2455181.74240,19.18475,0.025
91216,2455182.71998,19.10875,0.013
91217,2455183.77686,19.3795,0.018
91218,2455184.73665,19.31075,0.025
91219,2455185.69343,19.37575,0.019
91220,2455186.70722,19.217999999999996,0.014
91221,2455187.70773,19.20175,0.014
100102,2455199.69752,19.209999999999997,0.05
100103,2455200.68392,19.200999999999997,0.036
100104,2455201.72381,19.216749999999998,0.034
100105,2455202.71419,18.8475,0.02
100106,2455203.74660,19.1285,0.022
100110,2455207.69120,19.162,0.014
100111,2455208.71325,19.122,0.016
100112,2455209.68923,19.19425,0.016
100113,2455210.76025,19.17825,0.017
100114,2455211.73834,19.090999999999998,0.015
100115,2455212.71427,19.079749999999997,0.015
100116,2455213.69321,19.08825,0.017
100117,2455214.71038,19.150999999999996,0.015
100118,2455215.69243,19.2155,0.017
100119,2455216.68868,19.346,0.019
100121,2455218.77323,19.319,0.021
100122,2455219.67378,19.162,0.016
100125,2455222.72281,19.075,0.027
100128,2455225.73291,19.218249999999998,0.117
100129,2455226.68476,19.1775,0.136
100130,2455227.71925,18.961999999999996,0.082
100131,2455228.73279,18.9975,0.059
100201,2455229.75413,19.276,0.083
100203,2455231.68295,19.039250000000003,0.027
100204,2455232.73789,19.143250000000002,0.037
100206,2455234.72215,19.021250000000002,0.019
100207,2455235.64740,18.97325,0.013
100209,2455237.66100,19.20675,0.016
100215,2455243.66530,18.982,0.015
100217,2455245.66857,19.1055,0.016
100219,2455247.62721,19.041999999999998,0.017
100221,2455249.57600,19.0545,0.022
100223,2455251.55787,19.284999999999997,0.05
100225,2455253.57397,19.008,0.043
100227,2455255.63185,19.2975,0.088
100228,2455256.63562,18.954,0.07
100301,2455257.61980,18.99825,0.056
100304,2455260.65126,19.33175,0.041
100306,2455262.65110,19.232,0.026
100307,2455263.63658,19.07425,0.017
100309,2455265.58116,19.17075,0.016
100311,2455267.57557,19.1375,0.015
100313,2455269.61294,19.028,0.016
100318,2455274.53015,19.33175,0.018
100320,2455276.60171,19.20225,0.016
100322,2455278.57635,19.1785,0.034
100323,2455279.48366,19.015249999999998,0.06
100324,2455280.48293,19.118499999999997,0.075
100325,2455281.50869,19.0965,0.042
100328,2455284.56455,19.2365,0.068
100331,2455287.55067,18.84575,0.033
100402,2455289.50518,19.1725,0.016
100404,2455291.51172,18.920749999999998,0.014
100407,2455294.51209,19.292749999999998,0.02
100408,2455295.50903,19.24675,0.018
100409,2455296.50715,19.143500000000003,0.016
100410,2455297.51290,19.18375,0.017
100411,2455298.52123,19.0825,0.026
100412,2455299.48610,19.097749999999998,0.015
100414,2455301.51194,19.0185,0.015
100419,2455306.47309,18.761249999999997,0.02
100421,2455308.47175,18.936500000000002,0.028
100423,2455310.47770,18.996,0.036
100426,2455313.49364,18.9745,0.052
100430,2455317.46629,18.90475,0.022
100503,2455320.46709,18.63625,0.013
